Race,Country,Track,Laps,Maximum qualifying place (all skills),Standings required after race
1,USA,LAS VEGAS,3,10,
2,USA,LOS ANGELES,3,10,
3,USA,NEW YORK,3,10,
4,USA,SAN FRANCISCO,6,10,
5,South America,RIO,6,10,
6,South America,MACHU PICCHU,4,10,
7,South America,CHICHEN ITZA,6,10,
8,South America,RAIN FOREST,3,10,7
9,Japan,TOKYO,7,10,
10,Japan,HIROSHIMA,5,10,
11,Japan,YOKOHAMA,3,10,
12,Japan,KYOTO,6,10,
13,Germany,MUNICH,7,10,
14,Germany,COLOGNE,3,10,
15,Germany,BLACK FOREST,6,10,
16,Germany,FRANKFURT,8,10,6
17,Scandinavia,STOCKHOLM,3,5,
18,Scandinavia,COPENHAGEN,3,5,
19,Scandinavia,HELSINKI,3,5,
20,Scandinavia,OSLO,3,5,
21,France,PARIS,3,5,
22,France,NICE,7,5,
23,France,BORDEAUX,6,5,
24,France,MONACO,3,5,5
25,Italy,PISA,3,5,
26,Italy,ROME,6,5,
27,Italy,SICILY,3,5,
28,Italy,FLORENCE,3,5,
29,United Kingdom,LONDON,8,5,
30,United Kingdom,SHEFFIELD,3,5,
31,United Kingdom,LOCH NESS,3,5,
32,United Kingdom,STONEHENGE,4,5,
