selector,name,upload_index,offset_table_address,chain_offset,entry_index,source_bank_word,source_address,terminator
01,Title,0,07:8164,0000,0,0007,DB27,0
01,Title,0,07:8164,0000,1,0007,8352,0
01,Title,0,07:8164,0000,2,0007,88EB,0
01,Title,0,07:8164,0000,3,0007,8D64,0
01,Title,0,07:8164,0000,4,0007,905D,0
01,Title,0,07:8164,0000,5,0007,9826,0
01,Title,0,07:8164,0000,6,0007,A56F,0
01,Title,0,07:8164,0000,7,0007,A888,0
01,Title,0,07:8164,0000,8,0007,B521,0
01,Title,0,07:8164,0000,9,FFFF,0800,1
02,Frankfurt,1,07:8164,0028,0,0007,DB27,0
02,Frankfurt,1,07:8164,0028,1,0007,B81A,0
02,Frankfurt,1,07:8164,0028,2,0007,DB27,0
02,Frankfurt,1,07:8164,0028,3,0007,DB27,0
02,Frankfurt,1,07:8164,0028,4,0007,DB27,0
02,Frankfurt,1,07:8164,0028,5,0007,DB27,0
02,Frankfurt,1,07:8164,0028,6,0007,B963,0
02,Frankfurt,1,07:8164,0028,7,0007,C1EC,0
02,Frankfurt,1,07:8164,0028,8,0007,DB27,0
02,Frankfurt,1,07:8164,0028,9,0007,DB27,0
02,Frankfurt,1,07:8164,0028,10,0007,DB27,0
02,Frankfurt,1,07:8164,0028,11,0007,DB27,0
02,Frankfurt,1,07:8164,0028,12,0007,DB27,0
02,Frankfurt,1,07:8164,0028,13,0007,905D,0
02,Frankfurt,1,07:8164,0028,14,0007,9826,0
02,Frankfurt,1,07:8164,0028,15,0007,C255,0
02,Frankfurt,1,07:8164,0028,16,0007,DB30,0
02,Frankfurt,1,07:8164,0028,17,0004,F5FF,0
02,Frankfurt,1,07:8164,0028,18,0004,CE92,0
02,Frankfurt,1,07:8164,0028,19,0004,BD80,0
02,Frankfurt,1,07:8164,0028,20,0007,E992,0
02,Frankfurt,1,07:8164,0028,21,0004,F998,0
02,Frankfurt,1,07:8164,0028,22,0004,EFE6,0
02,Frankfurt,1,07:8164,0028,23,FFFF,0800,1
03,Bordeaux,2,07:8164,0088,0,0007,DB27,0
03,Bordeaux,2,07:8164,0088,1,0004,E42D,0
03,Bordeaux,2,07:8164,0088,2,0007,A56F,0
03,Bordeaux,2,07:8164,0088,3,0007,8D64,0
03,Bordeaux,2,07:8164,0088,4,0007,9826,0
03,Bordeaux,2,07:8164,0088,5,0007,905D,0
03,Bordeaux,2,07:8164,0088,6,0007,A888,0
03,Bordeaux,2,07:8164,0088,7,0007,DB27,0
03,Bordeaux,2,07:8164,0088,8,0007,DB27,0
03,Bordeaux,2,07:8164,0088,9,0007,DB27,0
03,Bordeaux,2,07:8164,0088,10,0007,DB27,0
03,Bordeaux,2,07:8164,0088,11,0007,DB27,0
03,Bordeaux,2,07:8164,0088,12,0007,DB27,0
03,Bordeaux,2,07:8164,0088,13,0007,DB27,0
03,Bordeaux,2,07:8164,0088,14,0007,DB27,0
03,Bordeaux,2,07:8164,0088,15,0007,DB27,0
03,Bordeaux,2,07:8164,0088,16,0007,DB30,0
03,Bordeaux,2,07:8164,0088,17,0004,F5FF,0
03,Bordeaux,2,07:8164,0088,18,0004,CE92,0
03,Bordeaux,2,07:8164,0088,19,0004,BD80,0
03,Bordeaux,2,07:8164,0088,20,0007,E992,0
03,Bordeaux,2,07:8164,0088,21,0004,F998,0
03,Bordeaux,2,07:8164,0088,22,0004,EFE6,0
03,Bordeaux,2,07:8164,0088,23,FFFF,0800,1
04,Hiroshima,3,07:8164,00E8,0,0007,DB27,0
04,Hiroshima,3,07:8164,00E8,1,0007,CD6E,0
04,Hiroshima,3,07:8164,00E8,2,0007,A56F,0
04,Hiroshima,3,07:8164,00E8,3,0007,A888,0
04,Hiroshima,3,07:8164,00E8,4,0007,9826,0
04,Hiroshima,3,07:8164,00E8,5,0007,905D,0
04,Hiroshima,3,07:8164,00E8,6,0004,EFE6,0
04,Hiroshima,3,07:8164,00E8,7,0007,DB27,0
04,Hiroshima,3,07:8164,00E8,8,0007,DB27,0
04,Hiroshima,3,07:8164,00E8,9,0007,DB27,0
04,Hiroshima,3,07:8164,00E8,10,0007,DB27,0
04,Hiroshima,3,07:8164,00E8,11,0007,DB27,0
04,Hiroshima,3,07:8164,00E8,12,0007,DB27,0
04,Hiroshima,3,07:8164,00E8,13,0007,DB27,0
04,Hiroshima,3,07:8164,00E8,14,0007,DB27,0
04,Hiroshima,3,07:8164,00E8,15,0007,DB27,0
04,Hiroshima,3,07:8164,00E8,16,0007,DB30,0
04,Hiroshima,3,07:8164,00E8,17,0004,F5FF,0
04,Hiroshima,3,07:8164,00E8,18,0004,CE92,0
04,Hiroshima,3,07:8164,00E8,19,0004,BD80,0
04,Hiroshima,3,07:8164,00E8,20,0007,E992,0
04,Hiroshima,3,07:8164,00E8,21,0004,F998,0
04,Hiroshima,3,07:8164,00E8,22,0004,EFE6,0
04,Hiroshima,3,07:8164,00E8,23,FFFF,0800,1
05,Las Vegas,4,07:8164,0148,0,0007,DB27,0
05,Las Vegas,4,07:8164,0148,1,0007,B521,0
05,Las Vegas,4,07:8164,0148,2,0007,A56F,0
05,Las Vegas,4,07:8164,0148,3,0007,A888,0
05,Las Vegas,4,07:8164,0148,4,0007,8D64,0
05,Las Vegas,4,07:8164,0148,5,0007,9826,0
05,Las Vegas,4,07:8164,0148,6,0007,905D,0
05,Las Vegas,4,07:8164,0148,7,0007,DB27,0
05,Las Vegas,4,07:8164,0148,8,0007,DB27,0
05,Las Vegas,4,07:8164,0148,9,0007,DB27,0
05,Las Vegas,4,07:8164,0148,10,0007,DB27,0
05,Las Vegas,4,07:8164,0148,11,0007,DB27,0
05,Las Vegas,4,07:8164,0148,12,0007,DB27,0
05,Las Vegas,4,07:8164,0148,13,0007,DB27,0
05,Las Vegas,4,07:8164,0148,14,0007,DB27,0
05,Las Vegas,4,07:8164,0148,15,0007,DB27,0
05,Las Vegas,4,07:8164,0148,16,0007,DB30,0
