frame,input,p0,p1,p2,p3,p1_speed,p1_lap,p1_place,p1_engine_value,p1_engine_gate,p2_engine_value,p2_engine_gate,flags_f5,flags_f6,event67,event69,event6d,event6f
5640,0140,05,03,00,04,0,0,19,0000,A7FF,0003,A7ED,20,00,00,00,00,00
5641,0140,05,0E,03,04,442,0,19,01B6,A7FE,0003,A7EC,00,00,00,00,00,00
5642,0140,05,03,B6,05,442,0,19,01B6,A7FE,0003,A7EC,00,00,00,00,00,00
5643,0140,05,0E,03,04,442,0,19,01B6,A7FE,0003,A7EC,00,00,00,00,00,00
5644,0140,05,03,EE,06,756,0,19,02EE,A7FD,0003,A7EB,00,00,00,00,00,00
5645,0140,05,0E,03,04,756,0,19,02EE,A7FD,0003,A7EB,00,00,00,00,00,00
5646,0140,05,03,EE,06,756,0,19,02EE,A7FD,0003,A7EB,00,00,00,00,00,00
5647,0140,05,0E,03,04,1038,0,19,0404,A7FC,0003,A7EA,00,00,00,00,00,00
5648,0140,05,03,04,08,1038,0,19,0404,A7FC,0003,A7EA,00,00,00,00,00,00
5649,0140,05,0E,03,04,1038,0,19,0404,A7FC,0003,A7EA,00,00,00,00,00,00
5650,0140,05,03,00,09,1291,0,19,0500,A7FB,0000,A7EA,00,00,00,00,00,00
5651,0140,05,0E,00,04,1291,0,19,0500,A7FB,0000,A7EA,00,00,00,00,00,00
5652,0140,05,03,00,09,1291,0,19,0500,A7FB,0000,A7EA,00,00,00,00,00,00
5653,0140,05,0E,03,04,1519,0,19,05E2,A7FA,0003,A7E9,00,00,00,00,00,00
5654,0140,05,03,E2,09,1519,0,19,05E2,A7FA,0003,A7E9,00,00,00,00,00,00
5655,0140,05,0E,03,04,1519,0,19,05E2,A7FA,0003,A7E9,00,00,00,00,00,00
5656,0140,05,03,AC,0A,1723,0,19,06AC,A7F9,0000,A7E9,00,00,00,00,00,00
5657,0040,05,0E,00,04,1723,0,19,06AC,A7F9,0000,A7E9,00,00,00,00,00,00
5658,0040,05,03,AC,0A,1723,0,19,06AC,A7F9,0000,A7E9,00,00,00,00,00,00
5659,0040,05,0E,03,04,1906,0,19,0762,A7F8,0003,A7E8,00,00,00,00,00,00
5660,0040,05,03,62,0B,1906,0,19,0762,A7F8,0003,A7E8,00,00,00,00,00,00
5661,0040,05,0E,03,04,1906,0,19,0762,A7F8,0003,A7E8,00,00,00,00,00,00
5662,0040,05,03,D6,09,1994,0,19,05D6,A7F7,0003,A7E7,00,00,00,00,00,00
5663,0040,05,0E,03,04,1994,0,19,05D6,A7F7,0003,A7E7,00,00,00,00,00,00
5664,0040,05,03,D6,09,1994,0,19,05D6,A7F7,0003,A7E7,00,00,00,00,00,00
5665,0040,05,0E,03,04,2079,0,19,0616,A7F6,0003,A7E6,00,00,00,00,00,00
5666,0040,05,03,16,0A,2079,0,19,0616,A7F6,0003,A7E6,00,00,00,00,00,00
5667,0040,05,0E,03,04,2162,0,19,0654,A7F5,0003,A7E5,00,00,00,00,00,00
5668,0040,05,03,54,0A,2162,0,19,0654,A7F5,0003,A7E5,00,00,00,00,00,00
5669,0040,05,0E,03,04,2243,0,19,0692,A7F4,0003,A7E4,00,00,00,00,00,00
5670,0040,05,03,92,0A,2243,0,19,0692,A7F4,0003,A7E4,00,00,00,00,00,00
5671,0040,05,0E,00,04,2321,0,19,06CC,A7F3,0000,A7E4,00,00,00,00,00,00
5672,0040,05,03,CC,0A,2321,0,19,06CC,A7F3,0000,A7E4,00,00,00,00,00,00
5673,0040,05,0E,00,04,2398,0,19,0706,A7F2,0000,A7E4,00,01,00,00,00,00
5674,0040,05,03,06,0B,2398,0,19,0706,A7F2,0000,A7E4,00,01,00,00,00,00
5675,0040,05,0E,03,04,2472,0,19,073E,A7F1,0003,A7E3,00,01,00,00,00,00
5676,0040,05,03,3E,0B,2472,0,19,073E,A7F1,0003,A7E3,00,01,00,00,00,00
5677,0040,05,0E,03,04,2544,0,19,0774,A7F0,0003,A7E2,00,01,00,00,00,00
5678,0040,05,03,74,0B,2544,0,19,0774,A7F0,0003,A7E2,00,01,00,00,00,00
5679,0040,05,0E,00,04,2615,0,19,07A8,A7EF,0000,A7E2,00,01,00,00,00,00
5680,0040,05,03,A8,0B,2615,0,19,07A8,A7EF,0000,A7E2,00,01,00,00,00,00
5681,0040,05,0E,00,04,2683,0,19,07DC,A7EE,0000,A7E2,00,01,00,00,00,00
5682,0040,05,03,DC,0B,2683,0,19,07DC,A7EE,0000,A7E2,00,01,00,00,00,00
5683,0040,05,0E,03,04,2749,0,19,080C,A7ED,0003,A7E1,00,01,00,00,00,00
5684,0040,05,03,0C,0C,2749,0,19,080C,A7ED,0003,A7E1,00,01,00,00,00,00
5685,0040,05,03,0C,0C,2813,0,19,083C,A7EC,0003,A7E0,00,01,00,00,00,00
5686,0240,05,0E,03,04,2813,0,19,083C,A7EC,0003,A7E0,00,01,00,00,00,00
5687,0240,05,03,6C,0C,2876,0,19,086C,A7EB,0000,A7E0,00,01,00,00,00,00
5688,0240,05,0E,00,04,2876,0,19,086C,A7EB,0000,A7E0,00,01,00,00,00,00
5689,0240,05,03,9A,0C,2937,0,19,089A,A7EA,0000,A7E0,00,01,00,00,00,00
5690,0240,05,0E,00,04,2937,0,19,089A,A7EA,0000,A7E0,00,01,00,00,00,00
5691,0240,05,03,C6,0C,2996,0,19,08C6,A7E9,0003,A7DF,00,01,00,00,00,00
5692,0240,05,0E,03,04,2996,0,19,08C6,A7E9,0003,A7DF,00,01,00,00,00,00
5693,0240,05,03,F2,0C,3054,0,19,08F2,A7E8,0000,A7DF,00,01,00,00,00,00
5694,0240,05,0E,00,04,3054,0,19,08F2,A7E8,0000,A7DF,00,01,00,00,00,00
5695,0240,05,03,1C,0D,3111,0,19,091C,A7E7,0003,A7DE,00,01,00,00,00,00
5696,0040,05,0E,03,04,3111,0,19,091C,A7E7,0003,A7DE,00,01,00,00,00,00
5697,0040,05,03,46,0D,3166,0,19,0946,A7E6,0000,A7DE,00,01,00,00,00,00
5698,0040,05,0E,00,04,3166,0,19,0946,A7E6,0000,A7DE,00,01,00,00,00,00
5699,0040,05,03,6E,0D,3219,0,19,096E,A7E5,0000,A7DE,00,01,00,00,00,00
5700,0040,05,0E,00,04,3219,0,19,096E,A7E5,0000,A7DE,00,01,00,00,00,00
5701,0040,05,03,94,0D,3271,0,19,0994,A7E4,0003,A7DD,00,01,00,00,00,00
5702,0040,05,0E,03,04,3271,0,19,0994,A7E4,0003,A7DD,00,01,00,00,00,00
5703,0040,05,03,F0,09,3357,0,19,05F0,A7E3,0003,A7DC,00,01,00,00,00,00
5704,0040,05,0E,03,04,3357,0,19,05F0,A7E3,0003,A7DC,00,01,00,00,00,00
5705,0140,05,03,16,0A,3442,0,19,0616,A7E2,0003,A7DB,00,01,00,00,00,00
5706,0140,05,0E,03,04,3442,0,19,0616,A7E2,0003,A7DB,00,01,00,00,00,00
5707,0140,05,03,3C,0A,3526,0,19,063C,A7E1,0000,A7DB,00,01,00,00,00,00
5709,0140,05,0E,00,04,3608,0,19,0662,A7E0,0000,A7DB,00,01,00,00,00,00
5710,0140,05,03,62,0A,3608,0,19,0662,A7E0,0000,A7DB,00,01,00,00,00,00
5711,0140,05,0E,03,04,3688,0,19,0686,A7DF,0003,A7DA,00,01,00,00,00,00
5712,0140,05,03,86,0A,3688,0,19,0686,A7DF,0003,A7DA,00,01,00,00,00,00
5713,0140,05,0E,00,04,3767,0,19,06AA,A7DE,0000,A7DA,00,01,00,00,00,00
5715,0140,05,03,CE,0A,3845,0,19,06CE,A7DD,0003,A7D9,00,01,00,00,00,00
5716,0140,05,0E,03,04,3845,0,19,06CE,A7DD,0003,A7D9,00,01,00,00,00,00
5717,0140,05,03,F0,0A,3921,0,19,06F0,A7DC,0000,A7D9,00,01,00,00,00,00
5718,0140,05,0E,00,04,3921,0,19,06F0,A7DC,0000,A7D9,00,01,00,00,00,00
5719,0140,05,03,12,0B,3996,0,19,0712,A7DB,0003,A7D8,00,01,00,00,00,00
5720,0140,05,0E,03,04,3996,0,19,0712,A7DB,0003,A7D8,00,01,00,00,00,00
5721,0140,05,03,34,0B,4070,0,19,0734,A7DA,0003,A7D7,00,01,00,00,00,00
5722,0140,05,0E,03,04,4070,0,19,0734,A7DA,0003,A7D7,00,01,00,00,00,00
5723,0140,05,03,54,0B,4142,0,19,0754,A7D9,0003,A7D6,00,01,00,00,00,00
5724,0140,05,0E,03,04,4142,0,19,0754,A7D9,0003,A7D6,00,01,00,00,00,00
5725,0140,05,03,54,0B,4142,0,19,0754,A7D9,0003,A7D6,00,01,00,00,00,00
5726,0140,05,0E,03,04,4200,0,19,0562,A7D8,0003,A7D5,00,01,00,00,00,00
5727,0140,05,03,62,09,4200,0,19,0562,A7D8,0003,A7D5,00,01,00,00,00,00
5728,0140,05,0E,03,04,4200,0,19,0562,A7D8,0003,A7D5,00,01,00,00,00,00
5729,0140,05,03,74,09,4257,0,19,0574,A7D7,0003,A7D4,00,01,00,00,00,00
5730,0140,05,0E,03,04,4257,0,19,0574,A7D7,0003,A7D4,00,01,00,00,00,00
5731,0140,05,03,74,09,4257,0,19,0574,A7D7,0003,A7D4,00,01,00,00,00,00
5732,0140,05,0E,00,04,4313,0,19,0586,A7D6,0000,A7D4,00,01,00,00,00,00
5733,0140,05,03,86,09,4313,0,19,0586,A7D6,0000,A7D4,00,01,00,00,00,00
5734,0140,05,0E,00,04,4313,0,19,0586,A7D6,0000,A7D4,00,01,00,00,00,00
5735,0140,05,03,98,09,4368,0,19,0598,A7D5,0000,A7D4,00,01,00,00,00,00
5736,0240,05,0E,00,04,4368,0,19,0598,A7D5,0000,A7D4,00,01,00,00,00,00
5737,0240,05,03,98,09,4368,0,19,0598,A7D5,0000,A7D4,00,01,00,00,00,00
5738,0240,05,0E,03,04,4422,0,19,05AA,A7D4,0003,A7D3,00,01,00,00,00,00
5739,0240,05,03,AA,09,4422,0,19,05AA,A7D4,0003,A7D3,00,01,00,00,00,00
5740,0240,05,0E,03,04,4422,0,19,05AA,A7D4,0003,A7D3,00,01,00,00,00,00
5741,0240,05,03,BC,09,4476,0,19,05BC,A7D3,0000,A7D3,00,01,00,00,00,00
5742,0240,05,0E,00,04,4476,0,19,05BC,A7D3,0000,A7D3,00,01,00,00,00,00
5743,0240,05,03,BC,09,4476,0,19,05BC,A7D3,0000,A7D3,00,01,00,00,00,00
5744,0240,05,0E,03,04,4529,0,19,05CE,A7D2,0003,A7D2,00,01,00,00,00,00
5745,0140,05,03,CE,09,4529,0,19,05CE,A7D2,0003,A7D2,00,01,00,00,00,00
5746,0140,05,0E,03,04,4529,0,19,05CE,A7D2,0003,A7D2,00,01,00,00,00,00
5747,0140,05,03,DE,09,4581,0,19,05DE,A7D1,0003,A7D1,00,01,00,00,00,00
5748,0140,05,0E,03,04,4581,0,19,05DE,A7D1,0003,A7D1,00,01,00,00,00,00
5749,0140,05,03,DE,09,4581,0,19,05DE,A7D1,0003,A7D1,00,01,00,00,00,00
