frame,ms,input,p0,p1,p2,p3,engine_value,engine_gate,lap,speed
5649,94010,0040,05,03,00,04,0000,A7FF,0,0
5650,94027,0040,05,0E,03,04,0000,A7FF,0,0
5651,94043,0040,05,03,00,04,0000,A7FF,0,0
5652,94060,0040,05,0E,03,04,0000,A7FF,0,0
5653,94076,0040,05,03,D6,05,01D6,A7FE,0,474
5654,94093,0040,05,0E,03,04,01D6,A7FE,0,474
5655,94110,0040,05,03,D6,05,01D6,A7FE,0,474
5656,94126,0040,05,0E,03,04,032A,A7FD,0,817
5657,94143,0040,05,03,2A,07,032A,A7FD,0,817
5658,94160,0040,05,0E,03,04,032A,A7FD,0,817
5659,94176,0040,05,03,5A,08,045A,A7FC,0,1124
5660,94193,0040,05,0E,00,04,045A,A7FC,0,1124
5661,94210,0040,05,03,5A,08,045A,A7FC,0,1124
5662,94226,0040,05,0E,03,04,056C,A7FB,0,1400
5663,94243,0040,05,03,6C,09,056C,A7FB,0,1400
5664,94260,0040,05,0E,03,04,056C,A7FB,0,1400
5665,94276,0040,05,03,62,0A,0662,A7FA,0,1648
5666,94293,0040,05,0E,00,04,0662,A7FA,0,1648
5667,94309,0040,05,03,62,0A,0662,A7FA,0,1648
5668,94326,0040,05,0E,03,04,073E,A7F9,0,1870
5669,94343,0040,05,03,3E,0B,073E,A7F9,0,1870
5670,94359,0040,05,0E,03,04,073E,A7F9,0,1870
5671,94376,0040,05,03,04,0C,0804,A7F8,0,2070
5672,94393,0040,05,0E,03,04,0804,A7F8,0,2070
5673,94409,0040,05,03,04,0C,0804,A7F8,0,2070
5674,94426,0040,05,0E,03,04,08B8,A7F7,0,2250
5675,94443,0040,05,03,B8,0C,08B8,A7F7,0,2250
5676,94459,0040,05,0E,03,04,0958,A7F6,0,2412
5677,94476,0040,05,03,58,0D,0958,A7F6,0,2412
5678,94492,0040,05,0E,03,04,09E8,A7F5,0,2557
5679,94509,0040,05,03,E8,0D,09E8,A7F5,0,2557
5680,94526,0040,05,0E,00,04,0A6A,A7F4,0,2687
5681,94542,0040,05,03,6A,0E,0A6A,A7F4,0,2687
5682,94559,0040,05,0E,00,04,0ADC,A7F3,0,2803
5683,94576,0040,05,03,DC,0E,0ADC,A7F3,0,2803
5684,94592,0040,05,0E,03,04,0B44,A7F2,0,2908
5685,94609,0040,05,03,44,0F,0B44,A7F2,0,2908
5686,94626,0040,05,0E,03,04,0BA2,A7F1,0,3002
5687,94642,0040,05,03,A2,0F,0BA2,A7F1,0,3002
5688,94659,0040,05,0E,00,04,0BF4,A7F0,0,3086
5689,94676,0040,05,03,F4,0F,0BF4,A7F0,0,3086
5690,94692,0040,05,0E,00,04,0C40,A7EF,0,3162
5691,94709,0040,05,03,40,10,0C40,A7EF,0,3162
5692,94725,0040,05,0E,03,04,0C84,A7EE,0,3230
5693,94742,0040,05,03,84,10,0C84,A7EE,0,3230
5694,94759,0040,05,0E,03,04,0CC0,A7ED,0,3291
5695,94775,0040,05,03,C0,10,0CC0,A7ED,0,3291
5696,94792,0040,05,0E,00,04,0CF6,A7EC,0,3346
5697,94809,0040,05,03,F6,10,0CF6,A7EC,0,3346
5698,94825,0040,05,0E,00,04,0D28,A7EB,0,3396
5699,94842,0040,05,03,28,11,0D28,A7EB,0,3396
5700,94859,0040,05,0E,03,04,0D54,A7EA,0,3440
5701,94875,0040,05,03,54,11,0D54,A7EA,0,3440
5702,94892,0040,05,0E,00,04,0D7C,A7E9,0,3480
5703,94908,0040,05,03,7C,11,0D7C,A7E9,0,3480
5704,94925,0040,05,0E,03,04,0DA0,A7E8,0,3516
5705,94942,0040,05,03,A0,11,0DA0,A7E8,0,3516
5706,94958,0040,05,0E,00,04,0DC0,A7E7,0,3548
5707,94975,0040,05,03,C0,11,0DC0,A7E7,0,3548
5708,94992,0040,05,0E,00,04,0DDC,A7E6,0,3577
5709,95008,0050,05,03,DC,11,0DDC,A7E6,0,3577
5710,95025,0050,05,0E,03,04,0DF6,A7E5,0,3603
5711,95042,0050,05,03,F6,11,0DF6,A7E5,0,3603
5712,95058,0050,05,0E,03,04,0AAC,A7E4,0,3644
5713,95075,0050,05,03,AC,0E,0AAC,A7E4,0,3644
5714,95091,0050,05,0E,03,04,0ACA,A7E3,0,3684
5715,95108,0050,05,03,CA,0E,0ACA,A7E3,0,3684
5716,95125,0050,05,0E,00,04,0AE8,A7E2,0,3723
5717,95141,0050,05,03,E8,0E,0AE8,A7E2,0,3723
5718,95158,0050,05,0E,00,04,0B04,A7E1,0,3761
5719,95175,0050,05,03,04,0F,0B04,A7E1,0,3761
5720,95191,0050,05,0E,03,04,0B20,A7E0,0,3798
5721,95208,0050,05,03,20,0F,0B20,A7E0,0,3798
5722,95225,0050,05,0E,00,04,0B3A,A7DF,0,3834
5723,95241,0050,05,0E,00,04,0B3A,A7DF,0,3834
5724,95258,0050,05,03,54,0F,0B54,A7DE,0,3869
5725,95275,0050,05,0E,03,04,0B54,A7DE,0,3869
5726,95291,0050,05,03,6E,0F,0B6E,A7DD,0,3903
5727,95308,0040,05,0E,00,04,0B6E,A7DD,0,3903
5728,95324,0040,05,03,88,0F,0B88,A7DC,0,3936
5729,95341,0040,05,0E,03,04,0B88,A7DC,0,3936
5730,95358,0040,05,03,A0,0F,0BA0,A7DB,0,3968
5731,95374,0040,05,0E,03,04,0BA0,A7DB,0,3968
5732,95391,0040,05,03,A0,0F,0BA0,A7DB,0,3968
5733,95408,0040,05,0E,03,04,0BB6,A7DA,0,3999
5734,95424,0040,05,03,B6,0F,0BB6,A7DA,0,3999
5735,95441,0040,05,0E,03,04,0BB6,A7DA,0,3999
5736,95458,0040,05,03,CC,0F,0BCC,A7D9,0,4029
5737,95474,0040,05,0E,03,04,0BCC,A7D9,0,4029
5738,95491,0040,05,03,CC,0F,0BCC,A7D9,0,4029
5739,95507,0040,05,0E,03,04,0BE2,A7D8,0,4058
5740,95524,0040,05,03,E2,0F,0BE2,A7D8,0,4058
5741,95541,0040,05,0E,03,04,0BE2,A7D8,0,4058
5742,95557,0040,05,03,F8,0F,0BF8,A7D7,0,4087
5743,95574,0040,05,0E,00,04,0BF8,A7D7,0,4087
5744,95591,0040,05,03,F8,0F,0BF8,A7D7,0,4087
5745,95607,0040,05,0E,00,04,0C0E,A7D6,0,4115
5746,95624,0040,05,0E,00,04,0C0E,A7D6,0,4115
5747,95641,0040,05,03,0E,10,0C0E,A7D6,0,4115
5748,95657,0040,05,0E,03,04,0C22,A7D5,0,4142
5749,95674,0040,05,03,22,10,0C22,A7D5,0,4142
5750,95690,0040,05,0E,03,04,0C22,A7D5,0,4142
5751,95707,0040,05,03,36,10,0C36,A7D4,0,4169
5752,95724,0040,05,0E,00,04,0C36,A7D4,0,4169
5753,95740,0040,05,03,36,10,0C36,A7D4,0,4169
5754,95757,0040,05,0E,03,04,0C4A,A7D3,0,4195
5755,95774,0040,05,03,4A,10,0C4A,A7D3,0,4195
5756,95790,0040,05,0E,03,04,0C4A,A7D3,0,4195
5757,95807,0040,05,03,5C,10,0C5C,A7D2,0,4220
5758,95824,0040,05,0E,03,04,0C5C,A7D2,0,4220
5759,95840,0040,05,03,5C,10,0C5C,A7D2,0,4220
5760,95857,0040,05,0E,03,04,0C6E,A7D1,0,4244
5761,95874,0040,05,03,6E,10,0C6E,A7D1,0,4244
5762,95890,0040,05,0E,03,04,0C6E,A7D1,0,4244
5763,95907,0040,05,03,80,10,0C80,A7D0,0,4267
5764,95923,0040,05,0E,03,04,0C80,A7D0,0,4267
5765,95940,0040,05,03,80,10,0C80,A7D0,0,4267
5766,95957,0040,05,0E,00,04,0C90,A7CF,0,4290
5767,95973,0040,05,03,90,10,0C90,A7CF,0,4290
5768,95990,0040,05,0E,00,04,0CA2,A7CE,0,4312
5769,96007,0040,05,0E,00,04,0CA2,A7CE,0,4312
5770,96023,0040,05,03,A2,10,0CA2,A7CE,0,4312
5771,96040,0040,05,0E,03,04,0CB2,A7CD,0,4334
5772,96057,0040,05,03,B2,10,0CB2,A7CD,0,4334
5773,96073,0040,05,0E,03,04,0CB2,A7CD,0,4334
5774,96090,0040,05,03,C2,10,0CC2,A7CC,0,4356
5775,96106,0040,05,0E,00,04,0CC2,A7CC,0,4356
5776,96123,0040,05,03,C2,10,0CC2,A7CC,0,4356
5777,96140,0040,05,0E,00,04,0CD2,A7CB,0,4377
5778,96156,0040,05,03,D2,10,0CD2,A7CB,0,4377
5779,96173,0040,05,0E,00,04,0CD2,A7CB,0,4377
5780,96190,0040,05,03,E0,10,0CE0,A7CA,0,4397
5781,96206,0040,05,0E,03,04,0CE0,A7CA,0,4397
5782,96223,0040,05,03,E0,10,0CE0,A7CA,0,4397
5783,96240,0040,05,0E,00,04,0CF0,A7C9,0,4417
5784,96256,0040,05,03,F0,10,0CF0,A7C9,0,4417
5785,96273,0040,05,0E,00,04,0CF0,A7C9,0,4417
5786,96290,0040,05,03,FE,10,0CFE,A7C8,0,4436
5787,96306,0040,05,0E,00,04,0CFE,A7C8,0,4436
5788,96323,0040,05,03,FE,10,0CFE,A7C8,0,4436
5789,96339,0040,05,0E,03,04,0D0C,A7C7,0,4454
5790,96356,0040,05,03,0C,11,0D0C,A7C7,0,4454
5791,96373,0040,05,0E,03,04,0D0C,A7C7,0,4454
5792,96389,0040,05,03,1A,11,0D1A,A7C6,0,4472
5793,96406,0040,05,0E,00,04,0D1A,A7C6,0,4472
5794,96423,0040,05,03,1A,11,0D1A,A7C6,0,4472
5795,96439,0040,05,0E,03,04,0D26,A7C5,0,4489
5796,96456,0040,05,03,26,11,0D26,A7C5,0,4489
5797,96473,0040,05,0E,03,04,0D26,A7C5,0,4489
5798,96489,0040,05,03,32,11,0D32,A7C4,0,4506
5799,96506,0040,05,0E,03,04,0D32,A7C4,0,4506
5800,96522,0040,05,03,32,11,0D32,A7C4,0,4506
5801,96539,0040,05,0E,00,04,0D3E,A7C3,0,4522
5802,96556,0040,05,03,3E,11,0D3E,A7C3,0,4522
5803,96572,0040,05,0E,00,04,0D3E,A7C3,0,4522
5804,96589,0040,05,03,4A,11,0D4A,A7C2,0,4538
5805,96606,0040,05,0E,00,04,0D4A,A7C2,0,4538
5806,96622,0040,05,03,4A,11,0D4A,A7C2,0,4538
5807,96639,0040,05,0E,03,04,0D56,A7C1,0,4553
5808,96656,0040,05,03,56,11,0D56,A7C1,0,4553
5809,96672,0040,05,0E,03,04,0D56,A7C1,0,4553
5810,96689,0040,05,03,62,11,0D62,A7C0,0,4568
5811,96705,0040,05,0E,00,04,0D62,A7C0,0,4568
5812,96722,0040,05,03,62,11,0D62,A7C0,0,4568
5813,96739,0040,05,0E,03,04,0D6C,A7BF,0,4583
5814,96755,0040,05,03,6C,11,0D6C,A7BF,0,4583
5815,96772,0040,05,0E,03,04,0D6C,A7BF,0,4583
5816,96789,0040,05,03,78,11,0D78,A7BE,0,4598
5817,96805,0040,05,0E,03,04,0D78,A7BE,0,4598
5818,96822,0040,05,03,78,11,0D78,A7BE,0,4598
5819,96839,0040,05,0E,00,04,0D82,A7BD,0,4612
5820,96855,0040,05,03,82,11,0D82,A7BD,0,4612
5821,96872,0040,05,0E,00,04,0D82,A7BD,0,4612
5822,96889,0040,05,03,8C,11,0D8C,A7BC,0,4626
5823,96905,0040,05,0E,00,04,0D8C,A7BC,0,4626
5824,96922,0040,05,03,8C,11,0D8C,A7BC,0,4626
5825,96938,0040,05,0E,00,04,0D96,A7BB,0,4639
5826,96955,0040,05,03,96,11,0D96,A7BB,0,4639
5827,96972,0040,05,0E,00,04,0D96,A7BB,0,4639
5828,96988,0040,05,03,A0,11,0DA0,A7BA,0,4652
5829,97005,0040,05,0E,00,04,0DA0,A7BA,0,4652
5830,97022,0040,05,03,A0,11,0DA0,A7BA,0,4652
5831,97038,0040,05,16,A0,11,0DAA,A7B9,0,4665
5832,97055,0040,05,03,AA,11,0DAA,A7B9,0,4665
5833,97072,0040,05,0E,00,04,0DAA,A7B9,0,4665
5834,97088,0040,05,03,B2,11,0DB2,A7B8,0,4677
5835,97105,0040,05,0E,03,04,0DB2,A7B8,0,4677
5836,97121,0040,05,03,B2,11,0DB2,A7B8,0,4677
5837,97138,0040,05,0E,00,04,0DBC,A7B7,0,4689
5838,97155,0040,05,03,BC,11,0DBC,A7B7,0,4689
5839,97171,0040,05,0E,00,04,0DBC,A7B7,0,4689
5840,97188,0040,05,03,C4,11,0DC4,A7B6,0,4700
5841,97205,0040,05,0E,03,04,0DC4,A7B6,0,4700
5842,97221,0040,05,03,C4,11,0DC4,A7B6,0,4700
5843,97238,0040,05,0E,00,04,0DCC,A7B5,0,4711
5844,97255,0040,05,03,CC,11,0DCC,A7B5,0,4711
5845,97271,0040,05,0E,00,04,0DCC,A7B5,0,4711
5846,97288,0040,05,03,D4,11,0DD4,A7B4,0,4722
5847,97305,0040,05,0E,00,04,0DD4,A7B4,0,4722
5848,97321,0040,05,03,D4,11,0DD4,A7B4,0,4722
5849,97338,0040,05,0E,00,04,0DDC,A7B3,0,4732
5850,97354,0040,05,03,DC,11,0DDC,A7B3,0,4732
5851,97371,0040,05,0E,00,04,0DDC,A7B3,0,4732
